,Abstract Text,Fatal,Fault,Job,Incident Severity,Cause,COMMENT1
0,,yes,employee,manufacturing,5,humanerror,"At 9:00 a.m. on August 10, 2017, an employee was operating a 400 ton Bliss Coin ""Knuckle"" mechanical power press. The press was actuated while the employee's right hand was in the point of operation. The employee's right ring and middle fingers were amputated. Coin ""Knuckle"" mechanical power press. The press was actuated while the employee's right hand was in the point of operation. The employee's right ring and middle fingers were amputated. "
1,,yes,employee,construction,5,entanglement,"At 9:45 a.m. on July 17, 2017, an employee was using a battery operated drill to drill a hole on a wooden joist about 109 inches above the floor. The employee's right hand slipped from a drill grip, and the tip of his right hand glove got caught in the drill head. The entanglement caused amputation of the right ring finger. to drill a hole on a wooden joist about 109 inches above the floor. The employee's right hand slipped from a drill grip, and the tip of his right hand glove got caught in the drill head. The entanglement caused amputation of the right ring finger. "
2,,yes,company,manufacturing,5,unknown,"At 7:30 a.m. on June 30, 2017, an employee was inserting a match fuze into a fireworks charge.  The fireworks exploded and both of the employee's hands were amputated. "
3,,yes,employee,construction,5,misstep,"At 2:00 p.m. on June 30, 2017, an employee was installing a self-adhering membrane to a roof with a slope of 1.25 feet to 12 feet (vertical to horizontal). As the employee installed the last section of the membranehe determined that it was too wide. He folded over the membrane cap sheet lengthwise and began ripping it with a knife, all while walking backwards. Once the employee reached the edge of the roof, he stood up and inadvertently stepped backwards and fell of the roof. The employee sustained severe head trauma, a collapsed lung, as well as fractures to one of his clavicles and ribs. The employee was taken to a nearby medical facility where he was hospitalized and received treatment. "
4,,yes,employee,construction,1,misuse,"At 12:20 p.m. on June 23, 2017, an employee was delivering a load of plywood to the project site. The employee cut the plastic straps holding the plywood together and it slid out from the truck bed, striking the employee.  The employee suffered a neck fracture and serious brain injury and was hospitalized. "
5,,unknown,employee,manufacturing,5,incident,"At 9:07 a.m. on June 22, 2017, an employee was sorting pistachios inside an air-conditioned building.  The employee suddenly fainted, suffering from dehydration and heat illness.  He was not drinking the provided water. The employee was hospitalized. "
6,,yes,company,manufacturing,1,explosion,"At 11:00 p.m. on May 31, 2017, nineteen employees were completing several work activities at a dry corn milling facility that included flour milling operations, bulk and bag loading operations, forklift operations, and laboratory operations.  There was a report for a smoke fragrance and several employees went to investigate the source.  Two employees detected an explosion and fire in the basement of B mill and were exiting the mill when multiple explosions occurred.  Five employees were fatally injured due to burns and/or blunt force trauma.  Three employees received serious injuries requiring hospitalization, and nine employees received serious injuries requiring medical treatment. "
7,,yes,company,construction,1,equipmentfail,"At 11:00 a.m. on May 31, 2017, an employee was operating an oil rig used for geothermal drilling while working on Phase 3 of the San Ysidro Land Port of Entry expansion project.  The employee was struck by metal hand assembly when it disconnected from the stovepipe assembly and it punctured the upper left area of his chest area.  Emergency Services was contacted and responded.  The employee was declared dead at the scene by the County Medical Examiner. "
8,,yes,company,construction,1,tripping,"At 5:15 p.m. on May 31, 2017, an employee was applying adhesive to insulated foam board for wall siding operation.  The employee tripped over a 24 inch by 48 inch skylight that was covered with original manufactured plastic bubble cover and fell through it.  The employee fell approximately 30 feet before striking the concrete floor.  The employee sustained blunt force trauma to the head and body and was killed. "
9,,yes,company,construction,1,equipmentfail,"At 4:45 p.m. on May 31, 2017, an employee set up the rolling roof rigger portable suspension scaffold anchor and mounted the boatswain's chair scaffold.  The employee fell fourteen stories when the roof rigger toppled over and the employee was killed. "
10,,yes,company,construction,1,negligence,"At 4:29 p.m. on May 31, 2017, an employee was on the facility roof opening a fire vent door to assist roofing contractors.  The employee was struck in the head by the door when it opened and the employee fell through the door opening.  The employee fell approximately 22 feet before landing on the concrete surface.  The employee was transported to the Carolinas Medical Center, where he was transferred to Charlotte via helicopter and was pronounced deceased. "
11,,yes,employee,construction,5,ume,"At 2:30 p.m. on May 31, 2017, an employee was climbing down a ladder.  The employee slipped and fell from the ladder, striking their head to the ground. The employee was killed. "
12,,yes,company,construction,1,negligence,"At 12:45 p.m. on May 30, 2017, an employee was walking across a driveway that was in the process of being paved.  A dump truck was backing up the driveway to dump asphalt onto the paving machine.  In this process, the dump truck backed over the employee.  The employee received multiple fractures and major trauma to his body from being ran over by the dump truck, and was killed. "
